	FilePath	Line	Logged	Thrown	SetLogicFlag	Return	RecoverFlag	OtherOperation	CatchBlock
ID:1666	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\NUnit\Services\XmlResultsStore.cs	305							catch { }
ID:1667	..\data\MonoDevelop\monodevelop-4.3.3\main\src\core\MonoDevelop.Ide\MonoDevelop.Components.MainToolbar\CommandSearchCategory.cs	66		throw;				token.ThrowIfCancellationRequested ();	catch {token.ThrowIfCancellationRequested ();throw;}
ID:1668	..\data\MonoDevelop\monodevelop-4.3.3\main\src\core\MonoDevelop.Ide\MonoDevelop.Components.MainToolbar\FileSearchCategory.cs	86		throw;				token.ThrowIfCancellationRequested ();	catch {token.ThrowIfCancellationRequested ();throw;}
ID:1669	..\data\MonoDevelop\monodevelop-4.3.3\main\src\core\MonoDevelop.Ide\MonoDevelop.Components.MainToolbar\ProjectSearchCategory.cs	104		throw;				token.ThrowIfCancellationRequested ();	catch {token.ThrowIfCancellationRequested ();throw;}
ID:1670	..\data\MonoDevelop\monodevelop-4.3.3\main\src\core\MonoDevelop.Ide\MonoDevelop.Components.MainToolbar\SearchPopupSearchPattern.cs	139				return false;			catch {return false;}
ID:1671	..\data\MonoDevelop\monodevelop-4.3.3\main\src\core\MonoDevelop.Ide\MonoDevelop.Components.MainToolbar\SearchPopupSearchPattern.cs	145				return false;			catch {return false;}
ID:1672	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.AddinAuthoring\MonoDevelop.AddinAuthoring\NodeEditorWidget.cs	187				return Activator.CreateInstance (type);			catch {return Activator.CreateInstance (type);}
ID:1673	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Debugger.Gdb\GdbBacktrace.cs	206				return ObjectValue.CreateUnknown (exp);			catch {return ObjectValue.CreateUnknown (exp);}
ID:1674	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Debugger.Gdb\GdbBacktrace.cs	310							catch {}
ID:1675	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Debugger.Gdb\GdbBacktrace.cs	383				return new AssemblyLine [0];			catch {return new AssemblyLine [0];}
ID:1676	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Debugger.Gdb\GdbSession.cs	99							catch {// Ignore}
ID:1677	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Debugger.Gdb\GdbSession.cs	116		throw;				"FireTargetEvent (TargetEventType.TargetExited, null);"	"catch {FireTargetEvent (TargetEventType.TargetExited, null);throw;}"
ID:1678	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Debugger.Gdb\GdbSession.cs	157			isMonoProcess = false				catch {isMonoProcess = false;// Ignore}
ID:1679	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Debugger.Gdb\GdbSession.cs	307							catch {// Ignore}
ID:1680	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Debugger.Gdb\GdbSession.cs	514						break;	catch {break;}
ID:1681	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Debugger.Gdb\GdbSessionFactory.cs	70			data.IsExe = false				catch {data.IsExe = false;}
ID:1682	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Debugger.Gdb\GdbSessionFactory.cs	124						continue;	catch {continue;}
ID:1683	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Profiling\MonoDevelop.Profiling.HeapShot\Snapshot\ObjectMapReader.cs	130						freader.Close ();	catch {if (freader != null)freader.Close ();}
ID:1684	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging\Mono.Debugging.Evaluation\TimedEvaluator.cs	237							catch {}
ID:1685	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging\Mono.Debugging.Evaluation\ValueReference.cs	218							catch {// Ignore}
ID:1686	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging.Soft\SoftDebuggerAdaptor.cs	126							catch {}
ID:1687	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging.Soft\SoftDebuggerAdaptor.cs	213				return null;			catch {return null;}
ID:1688	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging.Soft\SoftDebuggerAdaptor.cs	288						"res = DynamicCast (obj, tt);"	"catch {res = DynamicCast (obj, tt);}"
ID:1689	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging.Soft\SoftDebuggerAdaptor.cs	278							catch {}
ID:1690	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging.Soft\SoftDebuggerAdaptor.cs	1362				return false;			catch {return false;}
ID:1691	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging.Soft\SoftDebuggerAdaptor.cs	1699			array = null				catch {array = null;}
ID:1692	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging.Soft\SoftDebuggerSession.cs	464				return false;			catch {return false;}
ID:1693	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging.Soft\SoftDebuggerSession.cs	711		throw;		"return ""<Thread>"";"			"catch {if (vm.Version.AtLeast (2, 2)) {throw;}return ""<Thread>"";}"
ID:1694	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging.Soft\SoftDebuggerSession.cs	2148				return false;			catch {return false;}
ID:1695	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging.Soft\SoftDebuggerSession.cs	2590				return false;			catch {return false;}
ID:1696	..\data\MonoDevelop\monodevelop-4.3.3\main\external\monomac\maccore\src\CoreFoundation\Dispatch.cs	299		throw;				gch.Free ();	catch {gch.Free ();throw;}
ID:1697	..\data\MonoDevelop\monodevelop-4.3.3\main\external\Newtonsoft.Json\Src\Newtonsoft.Json\Utilities\MiscellaneousUtils.cs	76				return false;		output = default(T);	catch { output = default(T); return false; }
ID:1698	..\data\MonoDevelop\monodevelop-4.3.3\main\external\xwt\Xwt.WPF\Xwt.WPFBackend\WidgetBackend.cs	792				return dataType;			catch {return dataType;}
ID:1699	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.SourceEditor2\MonoDevelop.SourceEditor\DebugValueTooltipProvider.cs	208				return false;			catch {return false;}
ID:1700	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\VersionControl\MonoDevelop.VersionControl.Subversion.Unix\MonoDevelop.VersionControl.Subversion.Unix\SvnClient.cs	137				return oldVersion;			catch {// Ignorereturn oldVersion;}
ID:1701	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\VersionControl\MonoDevelop.VersionControl.Subversion.Unix\MonoDevelop.VersionControl.Subversion.Unix\SvnClient.cs	677				"return """";"			"catch {return """";}"
ID:1702	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\VersionControl\MonoDevelop.VersionControl.Subversion.Unix\MonoDevelop.VersionControl.Subversion.Unix\SvnClient.cs	963		throw;			try {if (outfile != IntPtr.Zero)apr.file_close (outfile);outfile = IntPtr.Zero;} catch {}		catch {try {if (outfile != IntPtr.Zero)apr.file_close (outfile);outfile = IntPtr.Zero;} catch {}throw;}
ID:1703	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\VersionControl\MonoDevelop.VersionControl.Subversion.Unix\MonoDevelop.VersionControl.Subversion.Unix\SvnClient.cs	980							catch {}
ID:1704	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\VersionControl\MonoDevelop.VersionControl.Subversion.Unix\MonoDevelop.VersionControl.Subversion.Unix\SvnClient.cs	987							catch {}
ID:1705	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\VersionControl\MonoDevelop.VersionControl.Subversion.Unix\MonoDevelop.VersionControl.Subversion.Unix\SvnClient.cs	1647			tdate = DateTime.MinValue				catch {tdate = DateTime.MinValue;}
ID:1706	..\data\MonoDevelop\monodevelop-4.3.3\main\src\core\MonoDevelop.Core\MonoDevelop.Core\LoggingService.cs	74							catch {}
ID:1707	..\data\MonoDevelop\monodevelop-4.3.3\main\src\core\MonoDevelop.Core\MonoDevelop.Core\Platform.cs	64							catch {}
ID:1708	..\data\MonoDevelop\monodevelop-4.3.3\main\src\core\MonoDevelop.Core\MonoDevelop.Core.Assemblies\AssemblyContext.cs	59							catch {// Ignore}
ID:1709	..\data\MonoDevelop\monodevelop-4.3.3\main\src\core\MonoDevelop.Core\MonoDevelop.Core.Assemblies\AssemblyContext.cs	487				return null;			catch {return null;}
ID:1710	..\data\MonoDevelop\monodevelop-4.3.3\main\src\core\MonoDevelop.Ide\MonoDevelop.Ide.Gui.Dialogs\VersionInformationTabPage.cs	140							catch {}
ID:1711	..\data\MonoDevelop\monodevelop-4.3.3\extras\JavaBinding\IKVMCompilerManager.cs	149							catch {// Ignore}
ID:1712	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Database\MonoDevelop.Database.Sql.Sybase\SybaseConnectionProvider.cs	56							catch {}
ID:1713	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Database\MonoDevelop.Database.Sql.Sybase\SybaseConnectionProvider.cs	75							catch {}
ID:1714	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Database\MonoDevelop.Database.Sql.Sybase\SybaseConnectionProvider.cs	89			isConnectionError = true	return null;		"errorMessage = String.Format (""Unable to connect. (CS={0})"", connStr == null ? ""NULL"" : connStr);"	"catch {isConnectionError = true;errorMessage = String.Format (""Unable to connect. (CS={0})"", connStr == null ? ""NULL"" : connStr);return null;}"
ID:1715	..\data\MonoDevelop\monodevelop-4.3.3\extras\NemerleBinding\Parser\SharpDevelopTree\Parameter.cs	47							catch { }
ID:1716	..\data\MonoDevelop\monodevelop-4.3.3\extras\NemerleBinding\Parser\SharpDevelopTree\Parameter.cs	56							catch { }
ID:1717	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging\Mono.Debugging.Client\BreakpointStore.cs	60							catch {}
ID:1718	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging\Mono.Debugging.Client\BreakpointStore.cs	269				return list.AsReadOnly ();			catch {return list.AsReadOnly ();}
ID:1719	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging\Mono.Debugging.Client\BreakpointStore.cs	291				return list.AsReadOnly ();			catch {return list.AsReadOnly ();}
ID:1720	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging\Mono.Debugging.Client\BreakpointStore.cs	494							catch {// Ignore}
ID:1721	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging\Mono.Debugging.Client\BreakpointStore.cs	514							catch {// Ignore}
ID:1722	..\data\MonoDevelop\monodevelop-4.3.3\main\external\debugger-libs\Mono.Debugging\Mono.Debugging.Client\BreakpointStore.cs	535							catch {// Ignore}
ID:1723	..\data\MonoDevelop\monodevelop-4.3.3\main\external\mono-addins\Mono.Addins\Mono.Addins.Description\NodeTypeAttribute.cs	199			ContentType = ContentType.Text				catch {ContentType = ContentType.Text;}
ID:1724	..\data\MonoDevelop\monodevelop-4.3.3\main\external\mono-addins\Mono.Addins.CecilReflector\Mono.Addins.CecilReflector\Reflector.cs	455	"Console.WriteLine (""Could not scan dependency '{0}'. Ignoring for now."", aref.FullName)"						"catch {Console.WriteLine (""Could not scan dependency '{0}'. Ignoring for now."", aref.FullName);}"
ID:1725	..\data\MonoDevelop\monodevelop-4.3.3\main\external\mono-tools\ilcontrast\mono-api-info.cs	89							catch { }
ID:1726	..\data\MonoDevelop\monodevelop-4.3.3\main\external\mono-tools\ilcontrast\mono-api-info.cs	97							catch { }
ID:1727	..\data\MonoDevelop\monodevelop-4.3.3\main\external\ngit\Sharpen\Sharpen\FilePath.cs	74				return false;			catch {return false;}
ID:1728	..\data\MonoDevelop\monodevelop-4.3.3\main\external\ngit\Sharpen\Sharpen\FilePath.cs	198				return null;			catch {return null;}
ID:1729	..\data\MonoDevelop\monodevelop-4.3.3\main\external\ngit\Sharpen\Sharpen\FilePath.cs	216				return null;			catch {return null;}
ID:1730	..\data\MonoDevelop\monodevelop-4.3.3\main\external\ngit\Sharpen\Sharpen\FilePath.cs	253				return false;			catch {return false;}
ID:1731	..\data\MonoDevelop\monodevelop-4.3.3\main\external\xwt\Xwt\Xwt\Desktop.cs	58							catch {}
ID:1732	..\data\MonoDevelop\monodevelop-4.3.3\main\external\xwt\Xwt.Gtk.Mac\Carbon.cs	221							catch {}
ID:1733	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore\libstetic\editor\ThemedIconList.cs	19				"return RenderIcon (name, Gtk.IconSize.Menu, null);"			"catch {return RenderIcon (name, Gtk.IconSize.Menu, null);}"
ID:1734	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore\libstetic\editor\TimeSpanEditor.cs	57							catch {}
ID:1735	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore\libstetic\wrapper\ComboBox.cs	16							catch {}
ID:1736	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore\libstetic\wrapper\ComboBoxEntry.cs	14							catch {}
ID:1737	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore2\libstetic\editor\DateTimeEditor.cs	58							catch {}
ID:1738	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore2\libstetic\editor\Identifier.cs	26							catch {}
ID:1739	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore2\libstetic\editor\Identifier.cs	31							catch {}
ID:1740	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore2\libstetic\editor\Image.cs	226						"image.SetFromStock (GnomeStock.Blank, Gtk.IconSize.Button);"	"catch {image.SetFromStock (GnomeStock.Blank, Gtk.IconSize.Button);}"
ID:1741	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.WebReferences\MonoDevelop.WebReferences.WCF\WebServiceDiscoveryResultWCF.cs	185							catch {}
