	FilePath	Line	Logged	Thrown	SetLogicFlag	Return	RecoverFlag	OtherOperation	CatchBlock
ID:277	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Gui\BrowserDisplayBinding\HtmlViewPane.cs	226	"LoggingService.Warn(""Error navigating to "" + url.ToString(), ex)"						"catch (Exception ex) {LoggingService.Warn(""Error navigating to "" + url.ToString(), ex);}"
ID:278	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\SharpDevelop\Dom\ClassBrowser\ClassBrowserPad.cs	250			unresolvedModel.AssemblyName = unresolvedContext.AssemblyName	return unresolvedModel;		string fakedAssemblyName = Path.GetFileName(fileName);	"catch (Exception) {// Special AssemblyModel for unresolved file referencesstring fakedAssemblyName = Path.GetFileName(fileName);IEntityModelContext unresolvedContext = new UnresolvedAssemblyEntityModelContext(fakedAssemblyName, fakedAssemblyName, fileName);IUpdateableAssemblyModel unresolvedModel = modelFactory.CreateAssemblyModel(unresolvedContext);unresolvedModel.AssemblyName = unresolvedContext.AssemblyName;unresolvedModel.FullAssemblyName = unresolvedContext.FullAssemblyName;return unresolvedModel;}"
ID:279	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\SharpDevelop\Logging\ExceptionBox.cs	100	"LoggingService.Warn(""Error tracking exception"", ex)"						"catch (Exception ex) {LoggingService.Warn(""Error tracking exception"", ex);}"
ID:280	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\SharpDevelop\Logging\ExceptionBox.cs	98	"LoggingService.Warn(""Error showing ExceptionBox"", ex)"					"MessageBox.Show(exception != null ? exception.ToString() : ""Error"", message, MessageBoxButtons.OK, MessageBoxIcon.Error, MessageBoxDefaultButton.Button1, MessageBoxOptions.DefaultDesktopOnly);"	"catch (Exception ex) {LoggingService.Warn(""Error showing ExceptionBox"", ex);MessageBox.Show(exception != null ? exception.ToString() : ""Error"", message, MessageBoxButtons.OK, MessageBoxIcon.Error, MessageBoxDefaultButton.Button1, MessageBoxOptions.DefaultDesktopOnly);}"
ID:281	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\SharpDevelop\Logging\ExceptionBox.cs	178					sb.AppendLine(ex.ToString());	"sb.AppendLine(""Failed to append recent log messages."");"	"catch (Exception ex) {sb.AppendLine(""Failed to append recent log messages."");sb.AppendLine(ex.ToString());}"
ID:282	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\SharpDevelop\Logging\ExceptionBox.cs	186					sb.AppendLine(ex.ToString());	"sb.AppendLine(""Failed to append application state information."");"	"catch (Exception ex) {sb.AppendLine(""Failed to append application state information."");sb.AppendLine(ex.ToString());}"
ID:283	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\SharpDevelop\Logging\ExceptionBox.cs	222	"LoggingService.Warn(""Cannot start "" + url, e)"						"catch (Exception e) {LoggingService.Warn(""Cannot start "" + url, e);}"
ID:284	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\SharpDevelop\Parser\LoadSolutionProjects.cs	195					"MessageService.ShowException(ex, ""Error on LoadSolutionProjects thread"");"		"catch (Exception ex) {MessageService.ShowException(ex, ""Error on LoadSolutionProjects thread"");}"
ID:285	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\SharpDevelop\Parser\ParserServiceEntry.cs	278		throw;			"SD.Log.Error(""Got "" + ex.GetType().Name + "" while parsing "" + fileName);"		"catch (Exception ex) {SD.Log.Error(""Got "" + ex.GetType().Name + "" while parsing "" + fileName);throw;}"
ID:286	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\DisplayBindings\IconEditor\IconPanel.cs	232					MessageService.ShowHandledException(ex);		catch (Exception ex) {MessageService.ShowHandledException(ex);}
ID:287	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\DisplayBindings\IconEditor\IconPanel.cs	312					MessageService.ShowHandledException(ex);		catch (Exception ex) {MessageService.ShowHandledException(ex);}
ID:288	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\DisplayBindings\ILSpyAddIn\DecompiledViewContent.cs	140	"writer.WriteLine(string.Format(""Exception while decompiling {0} ({1})"", DecompiledTypeName.Type, DecompiledTypeName.AssemblyFile))"			return;	if (cancellation.IsCancellationRequested) {MessageService.ShowException(ex);return;}	StringWriter writer = new StringWriter();	"catch (Exception ex) {if (cancellation.IsCancellationRequested) {MessageService.ShowException(ex);return;}SD.AnalyticsMonitor.TrackException(ex);StringWriter writer = new StringWriter();writer.WriteLine(string.Format(""Exception while decompiling {0} ({1})"", DecompiledTypeName.Type, DecompiledTypeName.AssemblyFile));writer.WriteLine();writer.WriteLine(ex.ToString());OnDecompilationFinished(writer.ToString());}"
ID:289	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\DisplayBindings\ILSpyAddIn\LaunchILSpy\SetILSpyPathDialog.cs	56					MessageService.ShowError(ex.Message);		catch (Exception ex) {MessageService.ShowError(ex.Message);}
ID:290	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\DisplayBindings\ResourceEditor\Project\Src\Commands\AddNewFileCommand.cs	111						"string message = ResourceService.GetString(""ResourceEditor.Messages.CantLoadResource"");"	"catch(Exception) {string message = ResourceService.GetString(""ResourceEditor.Messages.CantLoadResource"");MessageService.ShowWarning(message + "" "" + name + ""."");}"
ID:291	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\DisplayBindings\ResourceEditor\Project\Src\Commands\SaveEntryAsCommand.cs	73					"MessageBox.Show(ex.Message, ""Can't save resource to "" + sdialog.FileName, MessageBoxButtons.OK, MessageBoxIcon.Exclamation);"		"catch(Exception ex) {MessageBox.Show(ex.Message, ""Can't save resource to "" + sdialog.FileName, MessageBoxButtons.OK, MessageBoxIcon.Exclamation);}"
ID:292	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Addin\Project\Services\DefaultServiceContainer.cs	52					"ICSharpCode.Core.MessageService.ShowException(e, ""Exception while disposing "" + disposeMe);"		"catch (Exception e) {ICSharpCode.Core.MessageService.ShowException(e, ""Exception while disposing "" + disposeMe);}"
ID:293	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Addin\Project\Services\NameCreationService.cs	52	Trace.WriteLine(ex.ToString())						catch (Exception ex) { Trace.WriteLine(ex.ToString()); }
ID:294	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Addin\Project\Services\TypeResolutionService.cs	101	LoggingService.Error(e)						catch (Exception e) {LoggingService.Error(e);}
ID:295	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Addin\Project\Xml\MycroWriter.cs	84	writer.WriteComment(ex.ToString())						catch (Exception ex) {writer.WriteComment(ex.ToString());}
ID:296	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Addin\Project\Xml\ReportDefinitionParser.cs	72					"Trace.Fail(""Type ""+cname+"" could not be instantiated:\r\n""+e.Message);"		"catch(Exception e){Trace.Fail(""Type ""+cname+"" could not be instantiated:\r\n""+e.Message);}"
ID:297	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Addin\Project\Xml\ReportDefinitionParser.cs	165					"Trace.Fail(""Adding to collection failed:\r\n""+e.Message);"		"catch(Exception e){Trace.Fail(""Adding to collection failed:\r\n""+e.Message);}"
